Perceived Effectiveness,Comfort Level,Concern About Privacy
Agree,Extremely Uncomfortable,Not Concerned at All
Strongly Disagree,Somewhat Uncomfortable,Not Concerned at All
Disagree,Somewhat Uncomfortable,Somewhat Concerned
Agree,Somewhat Comfortable,Moderately Concerned
Disagree,Neither Comfortable nor Uncomfortable,Somewhat Concerned
Disagree,Neither Comfortable nor Uncomfortable,Slightly Concerned
Agree,Neither Comfortable nor Uncomfortable,Slightly Concerned
Strongly Disagree,Extremely Uncomfortable,Slightly Concerned
Neutral,Extremely Uncomfortable,Somewhat Concerned
Neutral,Somewhat Uncomfortable,Moderately Concerned
Neutral,Somewhat Comfortable,Slightly Concerned
Agree,Neither Comfortable nor Uncomfortable,Extremely Concerned
Agree,Extremely Uncomfortable,Slightly Concerned
Strongly Disagree,Neither Comfortable nor Uncomfortable,Not Concerned at All
Strongly Disagree,Extremely Uncomfortable,Not Concerned at All
Disagree,Neither Comfortable nor Uncomfortable,Not Concerned at All
Strongly Agree,Neither Comfortable nor Uncomfortable,Slightly Concerned
Disagree,Somewhat Uncomfortable,Moderately Concerned
Disagree,Somewhat Comfortable,Not Concerned at All
Neutral,Somewhat Uncomfortable,Slightly Concerned
Agree,Somewhat Comfortable,Not Concerned at All
Strongly Agree,Somewhat Uncomfortable,Not Concerned at All
Agree,Somewhat Comfortable,Slightly Concerned
Disagree,Neither Comfortable nor Uncomfortable,Not Concerned at All
Disagree,Extremely Comfortable,Not Concerned at All
Strongly Disagree,Somewhat Comfortable,Not Concerned at All
Strongly Disagree,Extremely Uncomfortable,Moderately Concerned
Disagree,Extremely Comfortable,Not Concerned at All
Strongly Disagree,Neither Comfortable nor Uncomfortable,Slightly Concerned
Disagree,Somewhat Uncomfortable,Moderately Concerned
Neutral,Extremely Comfortable,Slightly Concerned
Agree,Extremely Uncomfortable,Slightly Concerned
Strongly Agree,Somewhat Comfortable,Somewhat Concerned
Strongly Disagree,Extremely Comfortable,Slightly Concerned
Disagree,Somewhat Comfortable,Moderately Concerned
Strongly Disagree,Extremely Uncomfortable,Not Concerned at All
Agree,Somewhat Uncomfortable,Moderately Concerned
Strongly Disagree,Extremely Comfortable,Somewhat Concerned
Strongly Agree,Somewhat Uncomfortable,Moderately Concerned
Agree,Somewhat Comfortable,Not Concerned at All
Neutral,Neither Comfortable nor Uncomfortable,Slightly Concerned
Agree,Extremely Comfortable,Slightly Concerned
Neutral,Extremely Comfortable,Slightly Concerned
Strongly Disagree,Neither Comfortable nor Uncomfortable,Moderately Concerned
Strongly Agree,Extremely Uncomfortable,Not Concerned at All
Disagree,Extremely Comfortable,Somewhat Concerned
Strongly Disagree,Neither Comfortable nor Uncomfortable,Not Concerned at All
Agree,Neither Comfortable nor Uncomfortable,Extremely Concerned
Agree,Somewhat Comfortable,Not Concerned at All
Strongly Agree,Neither Comfortable nor Uncomfortable,Somewhat Concerned
Strongly Agree,Extremely Comfortable,Somewhat Concerned
Disagree,Somewhat Comfortable,Somewhat Concerned
Strongly Agree,Somewhat Uncomfortable,Not Concerned at All
Agree,Neither Comfortable nor Uncomfortable,Somewhat Concerned
Agree,Neither Comfortable nor Uncomfortable,Not Concerned at All
Disagree,Somewhat Comfortable,Somewhat Concerned
Agree,Neither Comfortable nor Uncomfortable,Extremely Concerned
Strongly Disagree,Somewhat Comfortable,Somewhat Concerned
Disagree,Extremely Comfortable,Moderately Concerned
Strongly Disagree,Somewhat Uncomfortable,Moderately Concerned
Disagree,Somewhat Uncomfortable,Somewhat Concerned
Agree,Somewhat Comfortable,Not Concerned at All
Neutral,Somewhat Comfortable,Extremely Concerned
Strongly Agree,Somewhat Uncomfortable,Moderately Concerned
Strongly Disagree,Extremely Uncomfortable,Slightly Concerned
Disagree,Extremely Uncomfortable,Not Concerned at All
Disagree,Extremely Comfortable,Slightly Concerned
Agree,Neither Comfortable nor Uncomfortable,Extremely Concerned
Strongly Disagree,Somewhat Comfortable,Extremely Concerned
Disagree,Somewhat Uncomfortable,Moderately Concerned
Disagree,Extremely Uncomfortable,Not Concerned at All
Strongly Disagree,Neither Comfortable nor Uncomfortable,Extremely Concerned
Strongly Agree,Somewhat Comfortable,Moderately Concerned
Strongly Agree,Somewhat Comfortable,Somewhat Concerned
Neutral,Extremely Uncomfortable,Moderately Concerned
Disagree,Neither Comfortable nor Uncomfortable,Somewhat Concerned
Neutral,Somewhat Uncomfortable,Not Concerned at All
Strongly Agree,Extremely Uncomfortable,Somewhat Concerned
Strongly Disagree,Somewhat Comfortable,Extremely Concerned
Neutral,Extremely Comfortable,Moderately Concerned
Strongly Disagree,Neither Comfortable nor Uncomfortable,Not Concerned at All
Strongly Disagree,Extremely Comfortable,Not Concerned at All
Neutral,Somewhat Uncomfortable,Slightly Concerned
Strongly Disagree,Extremely Uncomfortable,Slightly Concerned
Disagree,Somewhat Comfortable,Slightly Concerned
Disagree,Extremely Uncomfortable,Moderately Concerned
Strongly Agree,Somewhat Comfortable,Somewhat Concerned
Agree,Extremely Uncomfortable,Not Concerned at All
Disagree,Somewhat Uncomfortable,Somewhat Concerned
Disagree,Extremely Comfortable,Not Concerned at All
Strongly Disagree,Extremely Comfortable,Extremely Concerned
Neutral,Neither Comfortable nor Uncomfortable,Extremely Concerned
Disagree,Neither Comfortable nor Uncomfortable,Slightly Concerned
Agree,Extremely Uncomfortable,Somewhat Concerned
Strongly Disagree,Somewhat Comfortable,Not Concerned at All
Disagree,Extremely Uncomfortable,Extremely Concerned
Agree,Extremely Uncomfortable,Extremely Concerned
Neutral,Extremely Comfortable,Not Concerned at All
Agree,Somewhat Comfortable,Moderately Concerned
Agree,Extremely Comfortable,Moderately Concerned
